train_id,val_id,test_id,cv_split,num_train,num_val,num_test,test_acc,test_macro_f1,test_micro_f1,test_binary_f1,precision_macro,precision_micro,precision_binary,recall_macro,recall_micro,recall_binary
0,0,0,0,1180,147,148,0.7432432432432432,0.7402069475240205,0.7432432432432431,0.7121212121212119,0.7749751737835153,0.7432432432432432,0.8867924528301887,0.7539900935608145,0.7432432432432432,0.5949367088607594
0,0,0,1,1180,147,148,0.8918918918918919,0.8284555201390902,0.8918918918918919,0.7241379310344828,0.7911504424778761,0.8918918918918919,0.6,0.9005217391304348,0.8918918918918919,0.9130434782608695
0,0,0,2,1180,147,148,0.8175675675675675,0.7857946931117663,0.8175675675675675,0.7032967032967034,0.7959025470653378,0.8175675675675675,0.7441860465116279,0.7783333333333333,0.8175675675675675,0.6666666666666666
0,0,0,3,1180,147,148,0.8783783783783784,0.8781781598683007,0.8783783783783784,0.8732394366197184,0.8787545787545787,0.8783783783783784,0.8857142857142857,0.8779239766081872,0.8783783783783784,0.8611111111111112
0,0,0,4,1180,147,148,0.8108108108108109,0.8027042468101314,0.8108108108108109,0.7627118644067797,0.798783858485351,0.8108108108108109,0.6716417910447762,0.8277744087325651,0.8108108108108109,0.8823529411764706
0,0,1,0,808,202,465,0.8344086021505376,0.8288226266798617,0.8344086021505376,0.7979002624671916,0.8249068252832887,0.8344086021505376,0.7524752475247525,0.8371684181740048,0.8344086021505376,0.8491620111731844
0,0,1,1,808,202,465,0.8258064516129032,0.8170011806375443,0.8258064516129032,0.7768595041322315,0.8155365155500541,0.8258064516129032,0.7663043478260869,0.8186799234285268,0.8258064516129032,0.7877094972067039
0,0,1,2,808,202,465,0.821505376344086,0.8105125171223628,0.821505376344086,0.7648725212464589,0.8123296599123119,0.821505376344086,0.7758620689655172,0.808913153885221,0.821505376344086,0.7541899441340782
0,0,1,3,808,202,465,0.8172043010752689,0.8107303104453883,0.8172043010752688,0.7757255936675461,0.8071226415094339,0.8172043010752689,0.735,0.8179571824823222,0.8172043010752689,0.8212290502793296
0,0,1,4,808,202,465,0.821505376344086,0.8145585585585586,0.821505376344086,0.7786666666666668,0.8111106896290114,0.821505376344086,0.7448979591836735,0.8204086416376919,0.821505376344086,0.8156424581005587
0,0,2,0,756,189,530,0.8169811320754717,0.7521919993830106,0.8169811320754716,0.6254826254826256,0.7515384615384615,0.8169811320754717,0.6230769230769231,0.7528562315142376,0.8169811320754717,0.627906976744186
0,0,2,1,756,189,530,0.8339622641509434,0.7813408345053914,0.8339622641509434,0.674074074074074,0.7738518478003246,0.8339622641509434,0.6453900709219859,0.7903690386437008,0.8339622641509434,0.7054263565891473
0,0,2,2,756,189,530,0.8471698113207548,0.7812138477925175,0.8471698113207549,0.6610878661087866,0.7995670995670996,0.8471698113207548,0.7181818181818181,0.7675481838040558,0.8471698113207548,0.6124031007751938
0,0,2,3,756,189,530,0.8283018867924529,0.7796700761538427,0.8283018867924529,0.6761565836298933,0.767526455026455,0.8283018867924529,0.625,0.7971447350615708,0.8283018867924529,0.7364341085271318
0,0,2,4,756,189,530,0.8433962264150944,0.7796919994991862,0.8433962264150944,0.6612244897959184,0.7911669165417292,0.8433962264150944,0.6982758620689655,0.770312590616482,0.8433962264150944,0.627906976744186
0,0,3,0,796,199,480,0.8604166666666667,0.8603433226651149,0.8604166666666667,0.8571428571428571,0.8621384872080089,0.8604166666666667,0.8104838709677419,0.8640175404881287,0.8604166666666667,0.9095022624434389
0,0,3,1,796,199,480,0.85,0.8496842325023052,0.85,0.8427947598253275,0.849559827056311,0.85,0.8143459915611815,0.8517094987683222,0.85,0.8733031674208145
0,0,3,2,796,199,480,0.8291666666666667,0.8258746084833041,0.8291666666666667,0.8019323671497584,0.8342329981404921,0.8291666666666667,0.8601036269430051,0.8234420587361764,0.8291666666666667,0.751131221719457
0,0,3,3,796,199,480,0.85,0.8499348675640468,0.85,0.8468085106382978,0.8519793459552496,0.85,0.7991967871485943,0.8537011478187949,0.85,0.9004524886877828
0,0,3,4,796,199,480,0.85625,0.8562493760823614,0.85625,0.8559498956158664,0.8612507856693903,0.85625,0.7945736434108527,0.8614843026607732,0.85625,0.9276018099547512
1,1,0,0,372,93,1010,0.7841584158415842,0.7765813228561224,0.7841584158415842,0.7354368932038835,0.7757769695824674,0.7841584158415842,0.6392405063291139,0.8033116883116884,0.7841584158415842,0.8657142857142858
1,1,0,1,372,93,1010,0.7920792079207921,0.7698327950828212,0.7920792079207921,0.6982758620689655,0.7705837802075353,0.7920792079207921,0.7023121387283237,0.7691125541125541,0.7920792079207921,0.6942857142857143
1,1,0,2,372,93,1010,0.7841584158415842,0.7565726920950802,0.7841584158415842,0.6746268656716418,0.7632699275362319,0.7841584158415842,0.70625,0.7516450216450217,0.7841584158415842,0.6457142857142857
1,1,0,3,372,93,1010,0.7752475247524753,0.73012167890283,0.7752475247524753,0.6197654941373535,0.7663681079905126,0.7752475247524753,0.7489878542510121,0.7173160173160174,0.7752475247524753,0.5285714285714286
1,1,0,4,372,93,1010,0.807920792079208,0.7966279726318586,0.807920792079208,0.7487046632124352,0.7905463133120547,0.807920792079208,0.6848341232227488,0.8120995670995671,0.807920792079208,0.8257142857142857
1,1,1,0,372,46,47,0.6170212765957447,0.6083333333333334,0.6170212765957447,0.6666666666666667,0.6877828054298643,0.6170212765957447,0.5294117647058824,0.6537037037037037,0.6170212765957447,0.9
1,1,1,1,372,46,47,0.723404255319149,0.6622443338861249,0.723404255319149,0.8059701492537313,0.8375,0.723404255319149,0.675,0.675,0.723404255319149,1.0
1,1,1,2,372,46,47,0.7446808510638298,0.7417582417582418,0.7446808510638298,0.7142857142857143,0.7453703703703703,0.7446808510638298,0.75,0.740909090909091,0.7446808510638298,0.6818181818181818
1,1,1,3,372,46,47,0.7021276595744681,0.6907894736842105,0.7021276595744681,0.631578947368421,0.7065217391304348,0.7021276595744681,0.5,0.7467532467532467,0.7021276595744681,0.8571428571428571
1,1,1,4,372,46,47,0.9361702127659575,0.8156862745098039,0.9361702127659575,0.6666666666666665,0.8517441860465116,0.9361702127659575,0.75,0.7880952380952381,0.9361702127659575,0.6
1,1,2,0,372,93,530,0.6886792452830188,0.6505843572070722,0.6886792452830188,0.5352112676056338,0.6542559385188635,0.6886792452830188,0.42035398230088494,0.7048754083782791,0.6886792452830188,0.7364341085271318
1,1,2,1,372,93,530,0.8188679245283019,0.7399251671471508,0.8188679245283019,0.5966386554621849,0.7568044629431889,0.8188679245283019,0.6513761467889908,0.7278122523149491,0.8188679245283019,0.5503875968992248
1,1,2,2,372,93,530,0.7641509433962265,0.6886440861175209,0.7641509433962265,0.5353159851301114,0.6840659340659341,0.7641509433962265,0.5142857142857142,0.6942817375166734,0.7641509433962265,0.5581395348837209
1,1,2,3,372,93,530,0.8264150943396227,0.7268347338935573,0.8264150943396227,0.5619047619047618,0.786246528637026,0.8264150943396227,0.7283950617283951,0.7012507490962516,0.8264150943396227,0.4573643410852713
1,1,2,4,372,93,530,0.8226415094339623,0.7304112554112554,0.8226415094339623,0.5727272727272728,0.7709830033292449,0.8226415094339623,0.6923076923076923,0.7092733283071391,0.8226415094339623,0.4883720930232558
1,1,3,0,372,93,480,0.7875,0.7864284343319783,0.7875,0.7713004484304934,0.7861437908496732,0.7875,0.7644444444444445,0.7868236691766104,0.7875,0.7782805429864253
1,1,3,1,372,93,480,0.7979166666666667,0.7900347687270859,0.7979166666666667,0.7493540051679586,0.8157278796715525,0.7979166666666667,0.8734939759036144,0.7875137581019934,0.7979166666666667,0.6561085972850679
1,1,3,2,372,93,480,0.7770833333333333,0.7675923453896312,0.7770833333333333,0.7206266318537858,0.7954227812718379,0.7770833333333333,0.8518518518518519,0.7658851482380894,0.7770833333333333,0.6244343891402715
1,1,3,3,372,93,480,0.81875,0.8165129552574575,0.81875,0.7962529274004684,0.8195556657926439,0.81875,0.8252427184466019,0.8151173151173151,0.81875,0.7692307692307693
1,1,3,4,372,93,480,0.8166666666666667,0.809674861221253,0.8166666666666667,0.7731958762886598,0.8356832660557479,0.8166666666666667,0.8982035928143712,0.8065479830185713,0.8166666666666667,0.6787330316742082
2,2,0,0,424,106,945,0.7248677248677249,0.7204345609787179,0.7248677248677248,0.6852300242130751,0.7194428614073651,0.7248677248677249,0.6643192488262911,0.7225573394495413,0.7248677248677249,0.7075
2,2,0,1,424,106,945,0.7566137566137566,0.7532087965990844,0.7566137566137566,0.7242206235011989,0.7520358563222018,0.7566137566137566,0.695852534562212,0.7563990825688074,0.7566137566137566,0.755
2,2,0,2,424,106,945,0.8042328042328042,0.8016420059430812,0.8042328042328042,0.7789725209080048,0.8001630660011892,0.8042328042328042,0.7459954233409611,0.8056651376146788,0.8042328042328042,0.815
2,2,0,3,424,106,945,0.8359788359788359,0.8351251293053474,0.8359788359788359,0.8232611174458381,0.8367400419287212,0.8359788359788359,0.7568134171907757,0.8448279816513762,0.8359788359788359,0.9025
2,2,0,4,424,106,945,0.765079365079365,0.7607584023647045,0.765079365079365,0.7286063569682151,0.7596851365951536,0.765079365079365,0.7129186602870813,0.762408256880734,0.765079365079365,0.745
2,2,1,0,424,106,465,0.7870967741935484,0.7853455873095808,0.7870967741935485,0.7659574468085106,0.7935056746532156,0.7870967741935484,0.6639344262295082,0.8091573231238036,0.7870967741935484,0.9050279329608939
2,2,1,1,424,106,465,0.7440860215053764,0.7125588933504408,0.7440860215053764,0.6173633440514469,0.739011739011739,0.7440860215053764,0.7272727272727273,0.7052193616439426,0.7440860215053764,0.5363128491620112
2,2,1,2,424,106,465,0.7677419354838709,0.7584926711037587,0.7677419354838709,0.7112299465240641,0.7558404558404559,0.7677419354838709,0.6820512820512821,0.7631167714966598,0.7677419354838709,0.7430167597765364
2,2,1,3,424,106,465,0.7870967741935484,0.7818670305769969,0.7870967741935485,0.7480916030534351,0.779712924004915,0.7870967741935484,0.6869158878504673,0.7934816580067976,0.7870967741935484,0.8212290502793296
2,2,1,4,424,106,465,0.7935483870967742,0.7908310529669753,0.7935483870967742,0.7669902912621359,0.7937971733017611,0.7935483870967742,0.6781115879828327,0.8102219010040239,0.7935483870967742,0.88268156424581
2,2,2,0,424,53,53,0.6981132075471698,0.6418918918918919,0.6981132075471698,0.5,0.6666666666666666,0.6981132075471698,0.3333333333333333,0.8222222222222222,0.6981132075471698,1.0
2,2,2,1,424,53,53,0.8113207547169812,0.7132034632034632,0.8113207547169812,0.5454545454545454,0.7861111111111111,0.8113207547169812,0.75,0.6886446886446886,0.8113207547169812,0.42857142857142855
2,2,2,2,424,53,53,0.7169811320754716,0.6272855133614628,0.7169811320754716,0.4444444444444445,0.6402439024390244,0.7169811320754716,0.5,0.6210526315789473,0.7169811320754716,0.4
2,2,2,3,424,53,53,0.660377358490566,0.6543478260869565,0.660377358490566,0.608695652173913,0.6581196581196581,0.660377358490566,0.5384615384615384,0.6681818181818182,0.660377358490566,0.7
2,2,2,4,424,53,53,0.8113207547169812,0.7451923076923077,0.8113207547169812,0.6153846153846153,0.7214052287581699,0.8113207547169812,0.47058823529411764,0.8421717171717171,0.8113207547169812,0.8888888888888888
2,2,3,0,424,106,480,0.7895833333333333,0.7865736888677576,0.7895833333333333,0.7612293144208039,0.7906011824204003,0.7895833333333333,0.7970297029702971,0.7851028145145792,0.7895833333333333,0.7285067873303167
2,2,3,1,424,106,480,0.7645833333333333,0.7554013285171205,0.7645833333333334,0.7080103359173127,0.7788926406261991,0.7645833333333333,0.8253012048192772,0.7539701951466657,0.7645833333333333,0.6199095022624435
2,2,3,2,424,106,480,0.8041666666666667,0.8039488320355951,0.8041666666666667,0.7974137931034483,0.8047090691253842,0.8041666666666667,0.7613168724279835,0.8065829242299831,0.8041666666666667,0.8371040723981901
2,2,3,3,424,106,480,0.86875,0.8680484346023781,0.86875,0.8584269662921349,0.8677455357142857,0.86875,0.8526785714285714,0.8684201331260155,0.86875,0.8642533936651584
2,2,3,4,424,106,480,0.8083333333333333,0.8083200222237655,0.8083333333333333,0.8099173553719008,0.815019887508542,0.8083333333333333,0.7452471482889734,0.8140952846835199,0.8083333333333333,0.8868778280542986
3,3,0,0,384,96,995,0.7487437185929648,0.7011710490908392,0.7487437185929648,0.5819397993311037,0.7049645390070922,0.7487437185929648,0.6,0.6980424960774305,0.7487437185929648,0.564935064935065
3,3,0,1,384,96,995,0.8050251256281407,0.7794205031630526,0.8050251256281407,0.7042682926829269,0.7723911421414487,0.8050251256281407,0.6637931034482759,0.7898471615720524,0.8050251256281407,0.75
3,3,0,2,384,96,995,0.7849246231155779,0.7380238784228036,0.7849246231155779,0.627177700348432,0.7505543694627514,0.7849246231155779,0.6766917293233082,0.7296168169530615,0.7849246231155779,0.5844155844155844
3,3,0,3,384,96,995,0.75678391959799,0.7149955495795772,0.75678391959799,0.6058631921824104,0.715387461225419,0.75678391959799,0.6078431372549019,0.7146118074065673,0.75678391959799,0.6038961038961039
3,3,0,4,384,96,995,0.807035175879397,0.7722199965661307,0.8070351758793969,0.6831683168316832,0.7748620646490714,0.807035175879397,0.6946308724832215,0.7698089755950017,0.807035175879397,0.672077922077922
3,3,1,0,384,96,465,0.7870967741935484,0.7645136043460247,0.7870967741935485,0.691588785046729,0.7855819125277983,0.7870967741935484,0.7816901408450704,0.7558600617259834,0.7870967741935484,0.6201117318435754
3,3,1,1,384,96,465,0.8236559139784946,0.8149244748184676,0.8236559139784945,0.7747252747252746,0.8132239382239382,0.8236559139784946,0.7621621621621621,0.816931671680275,0.8236559139784946,0.7877094972067039
3,3,1,2,384,96,465,0.7741935483870968,0.7689577664734413,0.7741935483870968,0.7341772151898733,0.7673750557786703,0.7741935483870968,0.6712962962962963,0.7809020588350197,0.7741935483870968,0.8100558659217877
3,3,1,3,384,96,465,0.8064516129032258,0.7908503918119303,0.8064516129032258,0.7337278106508875,0.8000678258724874,0.8064516129032258,0.779874213836478,0.7851799038949877,0.8064516129032258,0.6927374301675978
3,3,1,4,384,96,465,0.7612903225806451,0.7351841115597536,0.7612903225806451,0.652037617554859,0.756043956043956,0.7612903225806451,0.7428571428571429,0.7275657303590265,0.7612903225806451,0.5810055865921788
3,3,2,0,384,96,530,0.7339622641509433,0.6803828733464208,0.7339622641509433,0.549520766773163,0.6715569238502136,0.7339622641509433,0.4673913043478261,0.7111388196176226,0.7339622641509433,0.6666666666666666
3,3,2,1,384,96,530,0.7830188679245284,0.7498471173933208,0.7830188679245284,0.658753709198813,0.7388766125179169,0.7830188679245284,0.5336538461538461,0.8092849272168416,0.7830188679245284,0.8604651162790697
3,3,2,2,384,96,530,0.7641509433962265,0.7207222018472382,0.7641509433962265,0.6105919003115265,0.7093503451676528,0.7641509433962265,0.5104166666666666,0.7626379786966692,0.7641509433962265,0.7596899224806202
3,3,2,3,384,96,530,0.7150943396226415,0.671538388925143,0.7150943396226415,0.5519287833827894,0.6676570711896799,0.7150943396226415,0.44711538461538464,0.7170735950820623,0.7150943396226415,0.7209302325581395
3,3,2,4,384,96,530,0.7396226415094339,0.6866001645413411,0.7396226415094339,0.5576923076923077,0.6771861860443142,0.7396226415094339,0.47540983606557374,0.7175085541959056,0.7396226415094339,0.6744186046511628
3,3,3,0,384,48,48,0.8541666666666666,0.8460833715071003,0.8541666666666666,0.8813559322033899,0.8392857142857143,0.8541666666666666,0.9285714285714286,0.8605313092979128,0.8541666666666666,0.8387096774193549
3,3,3,1,384,48,48,0.8541666666666666,0.8196457326892108,0.8541666666666666,0.8985507246376812,0.8734643734643734,0.8541666666666666,0.8378378378378378,0.796875,0.8541666666666666,0.96875
